,category,corr_ans,masks,words,symbols
65,loyalty.virtue,left,&&&&&&&,loyalty,images/symbols/symbol_73.png
66,care.virtue,left,&&&&,help,images/symbols/symbol_3.png
67,loyalty.virtue,left,&&&&&&,strong,images/symbols/symbol_58.png
68,fairness.virtue,left,&&&,win,images/symbols/symbol_55.png
69,authority.vice,right,&&&&,riot,images/symbols/symbol_34.png
70,nonword,,&&&&&&,crarft,images/symbols/symbol_41.png
71,loyalty.vice,right,&&&&&&&,slavery,images/symbols/symbol_35.png
72,care.virtue,left,&&&&&&&,restore,images/symbols/symbol_19.png
73,authority.vice,right,&&&&&&&&,rejected,images/symbols/symbol_46.png
74,fairness.vice,right,&&&&&&,forced,images/symbols/symbol_56.png
75,nonword,,&&&&&&,dighnd,images/symbols/symbol_45.png
76,sanctity.virtue,left,&&&&&,clean,images/symbols/symbol_26.png
77,sanctity.vice,right,&&&&&,abuse,images/symbols/symbol_24.png
78,loyalty.vice,right,&&&&&&&,failure,images/symbols/symbol_53.png
79,authority.vice,right,&&&&&&,rebels,images/symbols/symbol_39.png
80,sanctity.virtue,left,&&&&,hand,images/symbols/symbol_67.png
81,sanctity.virtue,left,&&&&&&&,dignity,images/symbols/symbol_23.png
82,authority.vice,right,&&&&&&,rebels,images/symbols/symbol_43.png
83,loyalty.vice,right,&&&&&&,groups,images/symbols/symbol_63.png
84,sanctity.vice,right,&&&&&&&&&&,harassment,images/symbols/symbol_30.png
85,care.virtue,left,&&&&&&,health,images/symbols/symbol_18.png
86,sanctity.vice,right,&&&&&,abuse,images/symbols/symbol_33.png
87,control,right,&&&&&&&,pleasant,images/symbols/symbol_35.png
88,care.vice,right,&&&&&&,victim,images/symbols/symbol_50.png
89,care.virtue,left,&&&&&&,growth,images/symbols/symbol_31.png
90,sanctity.vice,right,&&&&&&,serial,images/symbols/symbol_24.png
91,nonword,,&&&&&&,shypse,images/symbols/symbol_17.png
92,loyalty.vice,right,&&&&&,black,images/symbols/symbol_34.png
93,care.virtue,left,&&&&,safe,images/symbols/symbol_21.png
94,loyalty.virtue,left,&&&&&,party,images/symbols/symbol_3.png
95,fairness.virtue,left,&&&&&&&&&,agreement,images/symbols/symbol_7.png
96,loyalty.virtue,left,&&&&&,great,images/symbols/symbol_66.png
97,authority.virtue,left,&&&&&&&&,powerful,images/symbols/symbol_19.png
98,fairness.virtue,left,&&&&&&,ensure,images/symbols/symbol_16.png
99,authority.virtue,left,&&&&&&&&&,encourage,images/symbols/symbol_47.png
100,care.vice,right,&&&&,died,images/symbols/symbol_41.png
101,sanctity.vice,right,&&&&&&&&&&,conspiracy,images/symbols/symbol_53.png
102,fairness.virtue,left,&&&,win,images/symbols/symbol_49.png
103,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_76.png
