,category,corr_ans,masks,words,symbols
313,care.vice,right,&&&&,died,images/symbols/symbol_59.png
314,care.virtue,left,&&&&&&,safety,images/symbols/symbol_48.png
315,sanctity.virtue,left,&&&&&&&,dignity,images/symbols/symbol_34.png
316,authority.virtue,left,&&&&&&&,ability,images/symbols/symbol_33.png
317,fairness.vice,right,&&&&&&&,charges,images/symbols/symbol_20.png
318,loyalty.virtue,left,&&&&&&,strong,images/symbols/symbol_57.png
319,sanctity.vice,right,&&&&&&,racist,images/symbols/symbol_74.png
320,fairness.vice,right,&&&&&,crime,images/symbols/symbol_39.png
321,sanctity.virtue,left,&&&&&&&,freedom,images/symbols/symbol_16.png
322,sanctity.vice,right,&&&&&&&&&&,conspiracy,images/symbols/symbol_44.png
323,care.vice,right,&&&&&&&,suicide,images/symbols/symbol_40.png
324,nonword,,&&&&&,laudd,images/symbols/symbol_82.png
325,loyalty.vice,right,&&&,ban,images/symbols/symbol_4.png
326,care.vice,right,&&&&&&&,attacks,images/symbols/symbol_25.png
327,loyalty.vice,right,&&&&&&&&,betrayal,images/symbols/symbol_71.png
