words,masks,symbols,category,corr_ans,mask,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,keypress_logo_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_trials.keys,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,resp_LDT_prac.keys,resp_LDT_prac.rt,corr,resp_LDT_ready.keys,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_instr_memtask.keys,key_resp_instr_memtask.rt,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
rhuissed,&&&&&&&&,images/symbols/symbol_13.png,nonword,None,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,20.41453845799697,,,,,,,,,,,AMP_prac,left,1.0249392049954622,1,,None,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,27.463,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,27.414,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,27.386,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
bisebell,,,,,&&&&&&&,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,30.834397594997426,,,,,,,,,,,LDT_prac,right,0.6870570230021258,,,,,,,,,,,right,0.6870570230021258,0,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
keyboard,,,,,&&&&&&&,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,32.70017062500119,,,,,,,,,,,LDT_prac,left,0.6040737580042332,,,,,,,,,,,left,0.6040737580042332,0,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
doars,,,nonword,left,&&&&&,,,,,,,,,,,,,,,,,,,0,0,0,161,,,,,,,,,,,,,,,,,,,LDT,right,0.549459712994576,,,,,,,,,,,,,0,,right,0,0.549459712994576,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
laudd,,,nonword,left,&&&&&,,,,,,,,,,,,,,,,,,,0,1,1,158,,,,,,,,,,,,,,,,,,,LDT,left,0.4525264039984904,,,,,,,,,,,,,1,,left,1,0.4525264039984904,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
yakks,,,nonword,left,&&&&&,,,,,,,,,,,,,,,,,,,0,2,2,124,,,,,,,,,,,,,,,,,,,LDT,right,0.40581860699603567,,,,,,,,,,,,,0,,right,0,0.40581860699603567,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
civilians,,,care.vice,left,&&&&&&&&&,,,,,,,,,,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,LDT,right,1.6160600630028057,,,,,,,,,,,,,0,,right,0,1.6160600630028057,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
dignity,,,sanctity.virtue,left,&&&&&&&,,,,,,,,,,,,,,,,,,,0,4,4,42,,,,,,,,,,,,,,,,,,,LDT,left,1.0375712439999916,,,,,,,,,,,,,1,,left,1,1.0375712439999916,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
also,,,neutral,left,&&&&,,,,,,,,,,,,,,,,,,,0,5,5,55,,,,,,,,,,,,,,,,,,,LDT,right,0.8530475719962851,,,,,,,,,,,,,0,,right,0,0.8530475719962851,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
least,,,neutral,left,&&&&&,,,,,,,,,,,,,,,,,,,0,6,6,89,,,,,,,,,,,,,,,,,,,LDT,left,0.4682205700009945,,,,,,,,,,,,,1,,left,1,0.4682205700009945,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
treas,,,nonword,left,&&&&&,,,,,,,,,,,,,,,,,,,0,7,7,166,,,,,,,,,,,,,,,,,,,LDT,left,0.5350066989994957,,,,,,,,,,,,,1,,left,1,0.5350066989994957,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
amount,,,neutral,left,&&&&&&,,,,,,,,,,,,,,,,,,,0,8,8,63,,,,,,,,,,,,,,,,,,,LDT,right,0.5853922239984968,,,,,,,,,,,,,0,,right,0,0.5853922239984968,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
amoungst,,,neutral,left,&&&&&&&&,,,,,,,,,,,,,,,,,,,0,9,9,65,,,,,,,,,,,,,,,,,,,LDT,left,0.4356870580013492,,,,,,,,,,,,,1,,left,1,0.4356870580013492,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
coacs,,,nonword,left,&&&&&,,,,,,,,,,,,,,,,,,,0,10,10,175,,,,,,,,,,,,,,,,,,,LDT,right,0.5153564190040925,,,,,,,,,,,,,0,,right,0,0.5153564190040925,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
jipte,,,nonword,left,&&&&&,,,,,,,,,,,,,,,,,,,0,11,11,185,,,,,,,,,,,,,,,,,,,LDT,None,[],,,,,,,,,,,,,0,,None,0,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,64.383,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.7013228599971626,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
agents,,,authority.vice,left,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,2.1671230260035372,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
agents,,,authority.vice,left,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,25,,,,,,,,,,,,,,,LDT,None,[],,,,,,,,,,,,,0,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
build,,,authority.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,1.4646007179981098,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
build,,,authority.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,58,,,,,,,,,,,,,,,LDT,None,[],,,,,,,,,,,,,0,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
