words,masks,symbols,conditionfile,corr_ans,category,mask,LDT_trials_cond2.thisRepN,LDT_trials_cond2.thisTrialN,LDT_trials_cond2.thisN,LDT_trials_cond2.thisIndex,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,memtask_trials.thisRepN,memtask_trials.thisTrialN,memtask_trials.thisN,memtask_trials.thisIndex,LDT_cond1.thisRepN,LDT_cond1.thisTrialN,LDT_cond1.thisN,LDT_cond1.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,key_resp_instr.rt,exp_time,resp_sym_rate.keys,resp_sym_rate.rt,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_2.rt,sym_resp_trial.keys,sym_resp_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP_trials.keys,resp_AMP_trials.rt,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_instr_memtask.keys,key_resp_instr_memtask.rt,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,corr,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT_trial.keys,resp_LDT_trial.rt,LDT_rating.response,LDT_rating.rt,participant ID,date,expName,psychopyVersion,frameRate,
promised,&&&&&&&&,images/symbols/symbol_20.png,condition_files/AMP_rep2.csv,left,loyalty.virtue,,,,,,,,,,,,,,0,0,0,1,0,21,21,21,,,,,,,,,,,,,,,,,,,,,1288.4404156078745,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,right,0.5832230842243007,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
peaceful,&&&&&&&&,images/symbols/symbol_69.png,condition_files/AMP_rep2.csv,left,authority.virtue,,,,,,,,,,,,,,0,0,0,1,0,22,22,22,,,,,,,,,,,,,,,,,,,,,1289.2072872496865,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,left,0.5492018926634046,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
safety,&&&&&&,images/symbols/symbol_51.png,condition_files/AMP_rep2.csv,left,care.virtue,,,,,,,,,,,,,,0,0,0,1,0,23,23,23,,,,,,,,,,,,,,,,,,,,,1289.9908279154915,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,left,0.5665431555898977,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
killed,&&&&&&,images/symbols/symbol_56.png,condition_files/AMP_rep2.csv,right,care.vice,,,,,,,,,,,,,,0,0,0,1,0,24,24,24,,,,,,,,,,,,,,,,,,,,,1290.7244153910651,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,right,0.5004482127478695,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
clean,&&&&&,images/symbols/symbol_47.png,condition_files/AMP_rep2.csv,left,sanctity.virtue,,,,,,,,,,,,,,0,0,0,1,0,25,25,25,,,,,,,,,,,,,,,,,,,,,1291.6079137532834,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,left,0.6652987758934614,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
praise,&&&&&&,images/symbols/symbol_57.png,condition_files/AMP_rep2.csv,left,authority.virtue,,,,,,,,,,,,,,0,0,0,1,0,26,26,26,,,,,,,,,,,,,,,,,,,,,1292.6248688636952,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,right,0.7994142925854248,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
abuse,&&&&&,images/symbols/symbol_65.png,condition_files/AMP_rep2.csv,right,sanctity.vice,,,,,,,,,,,,,,0,0,0,1,0,27,27,27,,,,,,,,,,,,,,,,,,,,,1293.558428821092,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,left,0.7160624373973405,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
fair,&&&&,images/symbols/symbol_37.png,condition_files/AMP_rep2.csv,left,fairness.virtue,,,,,,,,,,,,,,0,0,0,1,0,28,28,28,,,,,,,,,,,,,,,,,,,,,1294.4920054561699,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,left,0.7004168458734057,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
powerful,&&&&&&&&,images/symbols/symbol_18.png,condition_files/AMP_rep2.csv,left,authority.virtue,,,,,,,,,,,,,,0,0,0,1,0,29,29,29,,,,,,,,,,,,,,,,,,,,,1295.24220614964,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,right,0.5322208035504445,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
help,&&&&,images/symbols/symbol_30.png,condition_files/AMP_rep2.csv,left,care.virtue,,,,,,,,,,,,,,0,0,0,1,0,30,30,30,,,,,,,,,,,,,,,,,,,,,1296.1424572449941,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,right,0.6828369637769356,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
