words,nonwords,mask,corr_ans,category,tweets,topic,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
drug,neputized,&&&&&&&&&,right,sanctity.vice,,,,,,,0,247,247,247,,,,,,,,,,,,,,,,,,,,,AMP,left,1.2339302786858752,,,left,0,1.2339302786858752,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
loyalty,wonderfujnoss,&&&&&&&&&&&&&,left,loyalty.virtue,,,,,,,0,248,248,248,,,,,,,,,,,,,,,,,,,,,AMP,right,0.38369828183203936,,,right,0,0.38369828183203936,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
safety,pafer,&&&&&,left,care.virtue,,,,,,,0,249,249,249,,,,,,,,,,,,,,,,,,,,,AMP,left,1.8507477238308638,,,left,1,1.8507477238308638,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
voter,presentkess,&&&&&&&&&&&,right,fairness.vice,,,,,,,0,250,250,250,,,,,,,,,,,,,,,,,,,,,AMP,right,0.9671897595981136,,,right,1,0.9671897595981136,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
freedom,divility,&&&&&&&&,left,sanctity.virtue,,,,,,,0,251,251,251,,,,,,,,,,,,,,,,,,,,,AMP,right,1.217289425083436,,,right,0,1.217289425083436,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
chressing,sonvoy,&&&&&&,None,nonword,,,,,,,0,252,252,252,,,,,,,,,,,,,,,,,,,,,AMP,left,0.5503704542061314,,,left,0,0.5503704542061314,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
scalbel,saned,&&&&&,None,nonword,,,,,,,0,253,253,253,,,,,,,,,,,,,,,,,,,,,AMP,left,1.0005096331005916,,,left,0,1.0005096331005916,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
values,ecgagement,&&&&&&&&&&,left,sanctity.virtue,,,,,,,0,254,254,254,,,,,,,,,,,,,,,,,,,,,AMP,right,1.483980231685564,,,right,0,1.483980231685564,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
critics,clamorek,&&&&&&&&,right,loyalty.vice,,,,,,,0,255,255,255,,,,,,,,,,,,,,,,,,,,,AMP,left,0.9338711689924821,,,left,0,0.9338711689924821,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
baladroit,leact,&&&&&,None,nonword,,,,,,,0,256,256,256,,,,,,,,,,,,,,,,,,,,,AMP,left,0.4503787610447034,,,left,0,0.4503787610447034,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
