words,nonwords,mask,corr_ans,category,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,tweets,topic,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,participant,date,expName,psychopyVersion,frameRate,
lempestuous,,&&&&&&&&&&&,right,nonword,,,,,,,,,,,,,0,129,129,43,,,,,,,,,,,,,,,LDT,left,0.6670408373040573,,,,,,0,,,,,,,,,,,,,left,0,0.6670408373040573,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
both,,&&&&,left,neutral,,,,,,,,,,,,,0,130,130,25,,,,,,,,,,,,,,,LDT,right,0.9171387363787744,,,,,,0,,,,,,,,,,,,,right,0,0.9171387363787744,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
three,,&&&&&,left,neutral,,,,,,,,,,,,,0,131,131,90,,,,,,,,,,,,,,,LDT,right,0.8004677346777953,,,,,,0,,,,,,,,,,,,,right,0,0.8004677346777953,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
whereafter,,&&&&&&&&&&,left,neutral,,,,,,,,,,,,,0,132,132,104,,,,,,,,,,,,,,,LDT,right,0.7004166443500708,,,,,,0,,,,,,,,,,,,,right,0,0.7004166443500708,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
brudent,,&&&&&&&,right,nonword,,,,,,,,,,,,,0,133,133,125,,,,,,,,,,,,,,,LDT,right,0.5504057559844568,,,,,,1,,,,,,,,,,,,,right,1,0.5504057559844568,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
ammessment,,&&&&&&&&&&,right,nonword,,,,,,,,,,,,,0,134,134,47,,,,,,,,,,,,,,,LDT,right,0.8338005655534744,,,,,,1,,,,,,,,,,,,,right,1,0.8338005655534744,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
thru,,&&&&,left,neutral,,,,,,,,,,,,,0,135,135,37,,,,,,,,,,,,,,,LDT,right,0.7504402652077715,,,,,,0,,,,,,,,,,,,,right,0,0.7504402652077715,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
prison,,&&&&&&,left,fairness.vice,,,,,,,,,,,,,0,136,136,145,,,,,,,,,,,,,,,LDT,left,0.5003888701980941,,,,,,1,,,,,,,,,,,,,left,1,0.5003888701980941,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
uller,,&&&&&,right,nonword,,,,,,,,,,,,,0,137,137,182,,,,,,,,,,,,,,,LDT,right,0.5504156982328823,,,,,,1,,,,,,,,,,,,,right,1,0.5504156982328823,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
sickyay,,&&&&&&&,right,nonword,,,,,,,,,,,,,0,138,138,159,,,,,,,,,,,,,,,LDT,left,1.3172343743935926,,,,,,0,,,,,,,,,,,,,left,0,1.3172343743935926,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
