words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
towards,,&&&&&&&,left,neutral,,,,,,,,,,,,,,,0,116,116,127,,,,,,,,,,,,,LDT,right,0.7670713707921095,,,,,,0,,,,,,,,,,,,,right,0,0.7670713707921095,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
toward,,&&&&&&,left,neutral,,,,,,,,,,,,,,,0,117,117,73,,,,,,,,,,,,,LDT,right,0.7504231882048771,,,,,,0,,,,,,,,,,,,,right,0,0.7504231882048771,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
compassion,,&&&&&&&&&&,left,care.virtue,,,,,,,,,,,,,,,0,118,118,139,,,,,,,,,,,,,LDT,right,0.8837959485535976,,,,,,0,,,,,,,,,,,,,right,0,0.8837959485535976,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
nomparisons,,&&&&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,119,119,57,,,,,,,,,,,,,LDT,left,0.8337615995842498,,,,,,0,,,,,,,,,,,,,left,0,0.8337615995842498,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
emports,,&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,120,120,168,,,,,,,,,,,,,LDT,left,1.767325379914837,,,,,,0,,,,,,,,,,,,,left,0,1.767325379914837,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
promote,,&&&&&&&,left,sanctity.virtue,,,,,,,,,,,,,,,0,121,121,26,,,,,,,,,,,,,LDT,right,0.7504154909402132,,,,,,0,,,,,,,,,,,,,right,0,0.7504154909402132,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
mih,,&&&,right,nonword,,,,,,,,,,,,,,,0,122,122,12,,,,,,,,,,,,,LDT,left,0.8669841994706076,,,,,,0,,,,,,,,,,,,,left,0,0.8669841994706076,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
pafer,,&&&&&,right,nonword,,,,,,,,,,,,,,,0,123,123,50,,,,,,,,,,,,,LDT,left,0.750403945101425,,,,,,0,,,,,,,,,,,,,left,0,0.750403945101425,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
slavery,,&&&&&&&,left,loyalty.vice,,,,,,,,,,,,,,,0,124,124,174,,,,,,,,,,,,,LDT,left,0.9170762778085191,,,,,,1,,,,,,,,,,,,,left,1,0.9170762778085191,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
else,,&&&&,left,neutral,,,,,,,,,,,,,,,0,125,125,74,,,,,,,,,,,,,LDT,right,0.5836995405261405,,,,,,0,,,,,,,,,,,,,right,0,0.5836995405261405,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
